|title|requirement
12|§ 121.2(d)(1)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(d) Delayed compliance dates. Unless paragraph (e) of this section specifies an earlier compliance date, no certificate holder that is covered by paragraph (a) of this section may operate an airplane in 14 CFR part 121 operations on or after a date listed in this paragraph (d) unless that airplane meets the applicable requirement of this paragraph (d): 
(1) Nontransport category turbopropeller powered airplanes type certificated after December 31, 1964, that have a passenger seat configuration of 10-19 seats. No certificate holder may operate under this part an airplane that is described in paragraph (a)(1)(i) of this section on or after a date listed in paragraph (d)(1) of this section unless that airplane meets the applicable requirement listed in paragraph (d)(1) of this section:
(i) December 20, 1997:
(A) Section 121.289, Landing gear aural warning. 
(B) Section 121.308, Lavatory fire protection. 
(C) Section 121.310(e), Emergency exit handle illumination. 
(D) Section 121.337(b)(8), Protective breathing equipment. 
(E) Section 121.340, Emergency flotation means. 
(ii) December 20, 1999: Section 121.342, Pitot heat indication system. 
(iii) December 20, 2010: 
(A) For airplanes described in § 121.157(f), the Airplane Performance Operating Limitations in §§ 121.189 through 121.197. 
(B) Section 121.161(b), Ditching approval. 
(C) Section 121.305(j), Third attitude indicator. 
(D) Section 121.312(c), Passenger seat cushion flammability. 
(iv) March 12, 1999: Section 121.310(b)(1), Interior emergency exit locating sign.
"
13|§ 121.2(d)(2)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(d) Delayed compliance dates. Unless paragraph (e) of this section specifies an earlier compliance date, no certificate holder that is covered by paragraph (a) of this section may operate an airplane in 14 CFR part 121 operations on or after a date listed in this paragraph (d) unless that airplane meets the applicable requirement of this paragraph (d): 
(2) Transport category turbopropeller powered airplanes that have a passenger seat configuration of 20-30 seats. No certificate holder may operate under this part an airplane that is described in paragraph (a)(1)(ii) of this section on or after a date listed in paragraph (d)(2) of this section unless that airplane meets the applicable requirement listed in paragraph (d)(2) of this section:
(i) December 20, 1997:
(A) Section 121.308, Lavatory fire protection. 
(B) Section 121.337(b) (8) and (9), Protective breathing equipment. 
(C) Section 121.340, Emergency flotation means. 
(ii) December 20, 2010: § 121.305(j), third attitude indicator.
"
14|§ 121.2(e)(1)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(e) Newly manufactured airplanes. No certificate holder that is described in paragraph (a) of this section may operate under this part an airplane manufactured on or after a date listed in this paragraph unless that airplane meets the applicable requirement listed in this paragraph (e). 
(1) For nontransport category turbopropeller powered airplanes type certificated after December 31, 1964, that have a passenger seat configuration of 10-19 seats: 
(i) Manufactured on or after March 20, 1997: 
(A) Section 121.305(j), Third attitude indicator. 
(B) Section 121.311(f), Safety belts and shoulder harnesses. 
(ii) Manufactured on or after December 20, 1997; Section 121.317(a), Fasten seat belt light.
(iii) Manufactured on or after December 20, 1999: Section 121.293, Takeoff warning system. 
(iv) Manufactured on or after March 12, 1999: Section 121.310(b)(1), Interior emergency exit locating sign.
"
15|§ 121.2(e)(2)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(e) Newly manufactured airplanes. No certificate holder that is described in paragraph (a) of this section may operate under this part an airplane manufactured on or after a date listed in this paragraph unless that airplane meets the applicable requirement listed in this paragraph (e). 
(2) For transport category turbopropeller powered airplanes that have a passenger seat configuration of 20-30 seats manufactured on or after March 20, 1997: Section 121.305(j), Third attitude indicator. 
"
16|§ 121.2(f)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(f) New type certification requirements. No person may operate an airplane for which the application for a type certificate was filed after March 29, 1995, in 14 CFR part 121 operations unless that airplane is type certificated under part 25 of this chapter. 
"
17|§ 121.2(g)(1)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(g) Transition plan. Before March 19, 1996 each certificate holder described in paragraph (a)(1) of this section must submit to the FAA a transition plan (containing a calendar of events) for moving from conducting its scheduled operations under the commuter requirements of part 135 of this chapter to the requirements for domestic or flag operations under this part. Each transition plan must contain details on the following: 
(1) Plans for obtaining new operations specifications authorizing domestic or flag operations; 
"
18|§ 121.2(g)(2)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(g) Transition plan. Before March 19, 1996 each certificate holder described in paragraph (a)(1) of this section must submit to the FAA a transition plan (containing a calendar of events) for moving from conducting its scheduled operations under the commuter requirements of part 135 of this chapter to the requirements for domestic or flag operations under this part. Each transition plan must contain details on the following: 
(2) Plans for being in compliance with the applicable requirements of this part on or before March 20, 1997; and 
"
19|§ 121.2(g)(3)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(g) Transition plan. Before March 19, 1996 each certificate holder described in paragraph (a)(1) of this section must submit to the FAA a transition plan (containing a calendar of events) for moving from conducting its scheduled operations under the commuter requirements of part 135 of this chapter to the requirements for domestic or flag operations under this part. Each transition plan must contain details on the following: 
(3) Plans for complying with the compliance date schedules contained in paragraphs (d) and (e) of this section. 
"
20|§ 121.2(h)|"§ 121.2   Compliance schedule for operators that transition to part 121; certain new entrant operators.
(h) Continuing requirements. A certificate holder described in paragraph (a) of this section shall comply with the applicable airplane operating and equipment requirements of part 135 of this chapter for the airplanes described in paragraph (a)(1) of this section, until the airplane meets the specific compliance dates in paragraphs (d) and (e) of this section.
(i) Any training or qualification obtained by a crewmember under part 135 of this chapter before March 20, 1997, is entitled to credit under this part for the purpose of meeting the requirements of this part, as determined by the Administrator. Records kept by a certificate holder under part 135 of this chapter before March 20, 1997, can be annotated, with the approval of the Administrator, to reflect crewmember training and qualification credited toward part 121 requirements.
"
21|§ 121.4|"§ 121.4   Applicability of rules to unauthorized operators.The rules in this part which refer to a person certificated under part 119 of this chapter apply also to any person who engages in an operation governed by this part without the appropriate certificate and operations specifications required by part 119 of this chapter. 

"
22|§ 121.7(1)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(1) An airport that meets the requirements of part 139, subpart D of this chapter, excluding those that apply to aircraft rescue and firefighting service, or
"
23|§ 121.7(2)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(2) A military airport that is active and operational.
ETOPS Alternate Airport means an adequate airport listed in the certificate holder's operations specifications that is designated in a dispatch or flight release for use in the event of a diversion during ETOPS. This definition applies to flight planning and does not in any way limit the authority of the pilot-in-command during flight.
ETOPS Area of Operation means one of the following areas:
"
24|§ 121.7(1)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(1) For turbine-engine-powered airplanes with two engines, an area beyond 60 minutes from an adequate airport, computed using a one-engine-inoperative cruise speed under standard conditions in still air.
"
25|§ 121.7(2)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(2) For turbine-engine-powered passenger-carrying airplanes with more than two engines, an area beyond 180 minutes from an adequate airport, computed using a one-engine-inoperative cruise speed under standard conditions in still air.
ETOPS Entry Point means the first point on the route of an ETOPS flight, determined using a one-engine-inoperative cruise speed under standard conditions in still air, that is - 
"
26|§ 121.7(1)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(1) More than 60 minutes from an adequate airport for airplanes with two engines;
"
27|§ 121.7(2)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(2) More than 180 minutes from an adequate airport for passenger-carrying airplanes with more than two engines.
ETOPS Qualified Person means a person, performing maintenance for the certificate holder, who has satisfactorily completed the certificate holder's ETOPS training program.
Maximum Diversion Time means, for the purposes of ETOPS route planning, the longest diversion time authorized for a flight under the operator's ETOPS authority. It is calculated under standard conditions in still air at a one-engine-inoperative cruise speed.
North Pacific Area of Operation means Pacific Ocean areas north of 40° N latitudes including NOPAC ATS routes, and published PACOTS tracks between Japan and North America.
North Polar Area means the entire area north of 78° N latitude.
One-engine-inoperative-Cruise Speed means a speed within the certified operating limits of the airplane that is specified by the certificate holder and approved by the FAA for  - 
"
28|§ 121.7(1)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(1) Calculating required fuel reserves needed to account for an inoperative engine; or
"
29|§ 121.7(2)|"§ 121.7   Definitions.The following definitions apply to those sections of part 121 that apply to ETOPS:
Adequate Airport means an airport that an airplane operator may list with approval from the FAA because that airport meets the landing limitations of § 121.197 and is either - 

(2) Determining whether an ETOPS alternate is within the maximum diversion time authorized for an ETOPS flight.
South Polar Area means the entire area South of 60° S latitude.
"
30|§ 121.9(a)(1)|"§ 121.9   Fraud and falsification.
(a) No person may make, or cause to be made, any of the following:
(1) A fraudulent or intentionally false statement in any application or any amendment thereto, or in any other record or test result required by this part.
"
31|§ 121.9(a)(2)|"§ 121.9   Fraud and falsification.
(a) No person may make, or cause to be made, any of the following:
(2) A fraudulent or intentionally false statement in, or a known omission from, any record or report that is kept, made, or used to show compliance with this part, or to exercise any privileges under this chapter.
"
32|§ 121.9(b)(1)|"§ 121.9   Fraud and falsification.
(b) The commission by any person of any act prohibited under paragraph (a) of this section is a basis for any one or any combination of the following:
(1) A civil penalty.
"
33|§ 121.9(b)(2)|"§ 121.9   Fraud and falsification.
(b) The commission by any person of any act prohibited under paragraph (a) of this section is a basis for any one or any combination of the following:
(2) Suspension or revocation of any certificate held by that person that was issued under this chapter.
"
34|§ 121.9(b)(3)|"§ 121.9   Fraud and falsification.
(b) The commission by any person of any act prohibited under paragraph (a) of this section is a basis for any one or any combination of the following:
(3) The denial of an application for any approval under this part.
"
35|§ 121.9(b)(4)|"§ 121.9   Fraud and falsification.
(b) The commission by any person of any act prohibited under paragraph (a) of this section is a basis for any one or any combination of the following:
(4) The removal of any approval under this part.
"
36|§ 121.11|"§ 121.11   Rules applicable to operations in a foreign country.Each certificate holder shall, while operating an airplane within a foreign country, comply with the air traffic rules of the country concerned and the local airport rules, except where any rule of this part is more restrictive and may be followed without violating the rules of that country. 

"
37|§ 121.15|"§ 121.15   Carriage of narcotic drugs, marihuana, and depressant or stimulant drugs or substances.If a certificate holder operating under this part permits any aircraft owned or leased by that holder to be engaged in any operation that the certificate holder knows to be in violation of § 91.19(a) of this chapter, that operation is a basis for suspending or revoking the certificate. 

"
38|§ 121.91|"§ 121.91   Applicability.This subpart prescribes rules for obtaining approval of routes by certificate holders conducting domestic or flag operations.

"
39|§ 121.93(a)(1)|"§ 121.93   Route requirements: General.
(a) Each certificate holder conducting domestic or flag operations seeking a route approval must show - 
(1) That it is able to conduct satisfactorily scheduled operations between each regular, provisional, and refueling airport over that route or route segment; and 
"
40|§ 121.93(a)(2)|"§ 121.93   Route requirements: General.
(a) Each certificate holder conducting domestic or flag operations seeking a route approval must show - 
(2) That the facilities and services required by §§ 121.97 through 121.107 are available and adequate for the proposed operation. 
The Administrator approves a route outside of controlled airspace if he determines that traffic density is such that an adequate level of safety can be assured. 
"
41|§ 121.93(b)|"§ 121.93   Route requirements: General.
(b) Paragraph (a) of this section does not require actual flight over a route or route segment if the certificate holder shows that the flight is not essential to safety, considering the availability and adequacy of airports, lighting, maintenance, communication, navigation, fueling, ground, and airplane radio facilities, and the ability of the personnel to be used in the proposed operation. 
"
42|§ 121.95(a)(1)|"§ 121.95   Route width.
(a) Approved routes and route segments over U.S. Federal airways or foreign airways (and advisory routes in the case of certificate holders conducting flag operations) have a width equal to the designated width of those airways or routes. Whenever the Administrator finds it necessary to determine the width of other approved routes, he considers the following: 
(1) Terrain clearance. 
"
43|§ 121.95(a)(2)|"§ 121.95   Route width.
(a) Approved routes and route segments over U.S. Federal airways or foreign airways (and advisory routes in the case of certificate holders conducting flag operations) have a width equal to the designated width of those airways or routes. Whenever the Administrator finds it necessary to determine the width of other approved routes, he considers the following: 
(2) Minimum en route altitudes. 
"
44|§ 121.95(a)(3)|"§ 121.95   Route width.
(a) Approved routes and route segments over U.S. Federal airways or foreign airways (and advisory routes in the case of certificate holders conducting flag operations) have a width equal to the designated width of those airways or routes. Whenever the Administrator finds it necessary to determine the width of other approved routes, he considers the following: 
(3) Ground and airborne navigation aids. 
"
45|§ 121.95(a)(4)|"§ 121.95   Route width.
(a) Approved routes and route segments over U.S. Federal airways or foreign airways (and advisory routes in the case of certificate holders conducting flag operations) have a width equal to the designated width of those airways or routes. Whenever the Administrator finds it necessary to determine the width of other approved routes, he considers the following: 
(4) Air traffic density. 
"
46|§ 121.95(a)(5)|"§ 121.95   Route width.
(a) Approved routes and route segments over U.S. Federal airways or foreign airways (and advisory routes in the case of certificate holders conducting flag operations) have a width equal to the designated width of those airways or routes. Whenever the Administrator finds it necessary to determine the width of other approved routes, he considers the following: 
(5) ATC procedures. 
"
47|§ 121.95(b)|"§ 121.95   Route width.
(b) Any route widths of other approved routes determined by the Administrator are specified in the certificate holder's operations specifications. 
"
48|§ 121.97(a)|"§ 121.97   Airports: Required data.
(a) Each certificate holder conducting domestic or flag operations must show that each route it submits for approval has enough airports that are properly equipped and adequate for the proposed operation, considering such items as size, surface, obstructions, facilities, public protection, lighting, navigational and communications aids, and ATC. 
"
49|§ 121.97(b)(1)|"§ 121.97   Airports: Required data.
(b) Each certificate holder conducting domestic or flag operations must show that it has an approved system for obtaining, maintaining, and distributing to appropriate personnel current aeronautical data for each airport it uses to ensure a safe operation at that airport. The aeronautical data must include the following: 
(1) Airports. 
(i) Facilities. 
(ii) Public protection. After February 15, 2008, for ETOPS beyond 180 minutes or operations in the North Polar area and South Polar area, this includes facilities at each airport or in the immediate area sufficient to protect the passengers from the elements and to see to their welfare.
(iii) Navigational and communications aids. 
(iv) Construction affecting takeoff, landing, or ground operations. 
(v) Air traffic facilities. 
"
50|§ 121.97(b)(2)|"§ 121.97   Airports: Required data.
(b) Each certificate holder conducting domestic or flag operations must show that it has an approved system for obtaining, maintaining, and distributing to appropriate personnel current aeronautical data for each airport it uses to ensure a safe operation at that airport. The aeronautical data must include the following: 
(2) Runways, clearways and stopways. 
(i) Dimensions. 
(ii) Surface. 
(iii) Marking and lighting systems. 
(iv) Elevation and gradient. 
"
51|§ 121.97(b)(3)|"§ 121.97   Airports: Required data.
(b) Each certificate holder conducting domestic or flag operations must show that it has an approved system for obtaining, maintaining, and distributing to appropriate personnel current aeronautical data for each airport it uses to ensure a safe operation at that airport. The aeronautical data must include the following: 
(3) Displaced thresholds. 
(i) Location. 
(ii) Dimensions. 
(iii) Takeoff or landing or both. 
"
52|§ 121.97(b)(4)|"§ 121.97   Airports: Required data.
(b) Each certificate holder conducting domestic or flag operations must show that it has an approved system for obtaining, maintaining, and distributing to appropriate personnel current aeronautical data for each airport it uses to ensure a safe operation at that airport. The aeronautical data must include the following: 
(4) Obstacles. 
(i) Those affecting takeoff and landing performance computations in accordance with Subpart I of this part. 
(ii) Controlling obstacles. 
"
53|§ 121.97(b)(5)|"§ 121.97   Airports: Required data.
(b) Each certificate holder conducting domestic or flag operations must show that it has an approved system for obtaining, maintaining, and distributing to appropriate personnel current aeronautical data for each airport it uses to ensure a safe operation at that airport. The aeronautical data must include the following: 
(5) Instrument flight procedures. 
(i) Departure procedure. 
(ii) Approach procedure. 
(iii) Missed approach procedure. 
"
54|§ 121.97(b)(6)|"§ 121.97   Airports: Required data.
(b) Each certificate holder conducting domestic or flag operations must show that it has an approved system for obtaining, maintaining, and distributing to appropriate personnel current aeronautical data for each airport it uses to ensure a safe operation at that airport. The aeronautical data must include the following: 
(6) Special information. 
(i) Runway visual range measurement equipment. 
(ii) Prevailing winds under low visibility conditions. 
"
55|§ 121.97(c)|"§ 121.97   Airports: Required data.
(c) If the responsible Flight Standards office charged with the overall inspection of the certificate holder's operations finds that revisions are necessary for the continued adequacy of the certificate holder's system for collection, dissemination, and usage of aeronautical data that has been granted approval, the certificate holder shall, after notification by the responsible Flight Standards office, make those revisions in the system. Within 30 days after the certificate holder receives such notice, the certificate holder may file a petition to reconsider the notice with the Executive Director, Flight Standards Service. This filing of a petition to reconsider stays the notice pending a decision by the Executive Director, Flight Standards Service. However, if the responsible Flight Standards office finds that there is an emergency that requires immediate action in the interest of safety in air transportation, the Executive Director, Flight Standards Service may, upon statement of the reasons, require a change effective without stay. 
"
56|§ 121.99(a)|"§ 121.99   Communications facilities - domestic and flag operations.
(a) Each certificate holder conducting domestic or flag operations must show that a two-way communication system, or other means of communication approved by the responsible Flight Standards office, is available over the entire route. The communications may be direct links or via an approved communication link that will provide reliable and rapid communications under normal operating conditions between each airplane and the appropriate dispatch office, and between each airplane and the appropriate air traffic control unit.
"
57|§ 121.99(b)|"§ 121.99   Communications facilities - domestic and flag operations.
(b) Except in an emergency, for all flag and domestic kinds of operations, the communications systems between each airplane and the dispatch office must be independent of any system operated by the United States.
"
58|§ 121.99(c)|"§ 121.99   Communications facilities - domestic and flag operations.
(c) Each certificate holder conducting flag operations must provide voice communications for ETOPS where voice communication facilities are available. In determining whether facilities are available, the certificate holder must consider potential routes and altitudes needed for diversion to ETOPS Alternate Airports. Where facilities are not available or are of such poor quality that voice communication is not possible, another communication system must be substituted.
"
59|§ 121.99(d)|"§ 121.99   Communications facilities - domestic and flag operations.
(d) Except as provided in paragraph (e) of this section, after February 15, 2008 for ETOPS beyond 180 minutes, each certificate holder conducting flag operations must have a second communication system in addition to that required by paragraph (c) of this section. That system must be able to provide immediate satellite-based voice communications of landline-telephone fidelity. The system must be able to communicate between the flight crew and air traffic services, and the flight crew and the certificate holder. In determining whether such communications are available, the certificate holder must consider potential routes and altitudes needed for diversion to ETOPS Alternate Airports. Where immediate, satellite-based voice communications are not available, or are of such poor quality that voice communication is not possible, another communication system must be substituted.
"
60|§ 121.99(e)|"§ 121.99   Communications facilities - domestic and flag operations.
(e) Operators of two-engine turbine-powered airplanes with 207 minute ETOPS approval in the North Pacific Area of Operation must comply with the requirements of paragraph (d) of this section as of February 15, 2007.
"
61|§ 121.101(a)|"§ 121.101   Weather reporting facilities.
(a) Each certificate holder conducting domestic or flag operations must show that enough weather reporting services are available along each route to ensure weather reports and forecasts necessary for the operation. 
"
62|§ 121.101(b)(1)|"§ 121.101   Weather reporting facilities.
(b) Except as provided in paragraph (d) of this section, no certificate holder conducting domestic or flag operations may use any weather report to control flight unless - 
(1) For operations within the 48 contiguous States and the District of Columbia, it was prepared by the U.S. National Weather Service or a source approved by the U.S. National Weather Service; or 
"
63|§ 121.101(b)(2)|"§ 121.101   Weather reporting facilities.
(b) Except as provided in paragraph (d) of this section, no certificate holder conducting domestic or flag operations may use any weather report to control flight unless - 
(2) For operations conducted outside the 48 contiguous States and the District of Columbia, it was prepared by a source approved by the Administrator. 
"
64|§ 121.101(c)|"§ 121.101   Weather reporting facilities.
(c) Each certificate holder conducting domestic or flag operations that uses forecasts to control flight movements shall use forecasts prepared from weather reports specified in paragraph (b) of this section and from any source approved under its system adopted pursuant to paragraph (d) of this section. 
"
65|§ 121.101(d)|"§ 121.101   Weather reporting facilities.
(d) Each certificate holder conducting domestic or flag operations shall adopt and put into use an approved system for obtaining forecasts and reports of adverse weather phenomena, such as clear air turbulence, thunderstorms, and low altitude wind shear, that may affect safety of flight on each route to be flown and at each airport to be used. 
"
66|§ 121.103(a)|"§ 121.103   En route navigation facilities.
(a) Except as provided in paragraph (b) of this section, each certificate holder conducting domestic or flag operations must show, for each proposed route (including to any regular, provisional, refueling or alternate airports), that suitable navigation aids are available to navigate the airplane along the route within the degree of accuracy required for ATC. Navigation aids required for approval of routes outside of controlled airspace are listed in the certificate holder's operations specifications except for those aids required for routes to alternate airports.
"
67|§ 121.103(b)(1)|"§ 121.103   En route navigation facilities.
(b) Navigation aids are not required for any of the following operations - 
(1) Day VFR operations that the certificate holder shows can be conducted safely by pilotage because of the characteristics of the terrain;
"
68|§ 121.103(b)(2)|"§ 121.103   En route navigation facilities.
(b) Navigation aids are not required for any of the following operations - 
(2) Night VFR operations on routes that the certificate holder shows have reliably lighted landmarks adequate for safe operation; and
"
69|§ 121.103(b)(3)|"§ 121.103   En route navigation facilities.
(b) Navigation aids are not required for any of the following operations - 
(3) Other operations approved by the responsible Flight Standards office.
"
70|§ 121.105|"§ 121.105   Servicing and maintenance facilities.Each certificate holder conducting domestic or flag operations must show that competent personnel and adequate facilities and equipment (including spare parts, supplies, and materials) are available at such points along the certificate holder's route as are necessary for the proper servicing, maintenance, and preventive maintenance of airplanes and auxiliary equipment.

"
71|§ 121.106(a)(1)|"§ 121.106   ETOPS Alternate Airport: Rescue and fire fighting service.
(a) Except as provided in paragraph (b) of this section, the following rescue and fire fighting service (RFFS) must be available at each airport listed as an ETOPS Alternate Airport in a dispatch or flight release.
(1) For ETOPS up to 180 minutes, each designated ETOPS Alternate Airport must have RFFS equivalent to that specified by ICAO as Category 4, or higher.
"
72|§ 121.106(a)(2)|"§ 121.106   ETOPS Alternate Airport: Rescue and fire fighting service.
(a) Except as provided in paragraph (b) of this section, the following rescue and fire fighting service (RFFS) must be available at each airport listed as an ETOPS Alternate Airport in a dispatch or flight release.
(2) For ETOPS beyond 180 minutes, each designated ETOPS Alternate Airport must have RFFS equivalent to that specified by ICAO Category 4, or higher. In addition, the aircraft must remain within the ETOPS authorized diversion time from an Adequate Airport that has RFFS equivalent to that specified by ICAO Category 7, or higher.
"
73|§ 121.106(b)|"§ 121.106   ETOPS Alternate Airport: Rescue and fire fighting service.
(b) If the equipment and personnel required in paragraph (a) of this section are not immediately available at an airport, the certificate holder may still list the airport on the dispatch or flight release if the airport's RFFS can be augmented to meet paragraph (a) of this section from local fire fighting assets. A 30-minute response time for augmentation is adequate if the local assets can be notified while the diverting airplane is en route. The augmenting equipment and personnel must be available on arrival of the diverting airplane and must remain as long as the diverting airplane needs RFFS.
"
74|§ 121.107|"§ 121.107   Dispatch centers.Each certificate holder conducting domestic or flag operations must show that it has enough dispatch centers, adequate for the operations to be conducted, that are located at points necessary to ensure proper operational control of each flight.

"
75|§ 121.111|"§ 121.111   Applicability.This subpart prescribes rules for obtaining approval of areas and routes by certificate holders conducting supplemental operations.

"
76|§ 121.113(a)(1)|"§ 121.113   Area and route requirements: General.
(a) Each certificate holder conducting supplemental operations seeking route and area approval must show - 
(1) That it is able to conduct operations within the United States in accordance with paragraphs (a) (3) and (4) of this section; 
"
77|§ 121.113(a)(2)|"§ 121.113   Area and route requirements: General.
(a) Each certificate holder conducting supplemental operations seeking route and area approval must show - 
(2) That it is able to conduct operations in accordance with the applicable requirements for each area outside the United States for which authorization is requested; 
"
78|§ 121.113(a)(3)|"§ 121.113   Area and route requirements: General.
(a) Each certificate holder conducting supplemental operations seeking route and area approval must show - 
(3) That it is equipped and able to conduct operations over, and use the navigational facilities associated with, the Federal airways, foreign airways, or advisory routes (ADR's) to be used; and 
"
